# chisq H0 ombh2 omch2 tau As ns
2.576548777883288039e+03 6.827791467874638442e+01 2.236152872029814262e-02 1.175633104496473791e-01 8.574137408393635307e-02 2.222092207994467773e-09 9.732590626270228862e-01
2.576548777883288039e+03 6.827791467874638442e+01 2.236152872029814262e-02 1.175633104496473791e-01 8.574137408393635307e-02 2.222092207994467773e-09 9.732590626270228862e-01
2.576134777901399502e+03 6.828930708001928451e+01 2.235744524194107491e-02 1.175819172434082460e-01 8.617619041802559998e-02 2.222423016366054198e-09 9.731837640174979542e-01
2.576667298548140934e+03 6.829632216060701921e+01 2.235561071556145876e-02 1.176197376292544144e-01 8.580746395142377358e-02 2.219211422142583436e-09 9.730844233965044721e-01
2.576204985400934675e+03 6.829803098122530969e+01 2.236284717628338886e-02 1.176050467651306164e-01 8.552780377278790258e-02 2.219189120472402304e-09 9.731332915388339888e-01
2.576152737525833345e+03 6.827935238209147428e+01 2.236454116875945253e-02 1.175722194652889241e-01 8.517883857962840755e-02 2.218333000785017413e-09 9.732071512923745615e-01
2.576407722996720622e+03 6.829746678147562022e+01 2.236215180556131235e-02 1.176035143072900885e-01 8.509011830715378089e-02 2.216396605784239176e-09 9.731210582565928968e-01
2.576568905497409105e+03 6.829818600419837082e+01 2.235941881790218938e-02 1.176019854368860473e-01 8.523904771596625685e-02 2.216660944536141149e-09 9.731285129202501549e-01
2.579499636131895386e+03 6.830409287485126413e+01 2.235710069243445480e-02 1.176034720085784163e-01 8.537830749192670821e-02 2.213759481786405074e-09 9.731746092924857816e-01
2.579499636131895386e+03 6.830409287485126413e+01 2.235710069243445480e-02 1.176034720085784163e-01 8.537830749192670821e-02 2.213759481786405074e-09 9.731746092924857816e-01
2.579425819408746065e+03 6.831622657137315002e+01 2.235783643211897501e-02 1.176343929022090895e-01 8.555210924639601588e-02 2.214972108910141922e-09 9.732314256310985456e-01
2.576791260135678385e+03 6.831895057966387697e+01 2.235751768195030909e-02 1.176138688610830901e-01 8.534594122828605134e-02 2.217110812428950209e-09 9.732247885920427555e-01
2.576620996986694081e+03 6.832533806204421012e+01 2.235626284201030003e-02 1.175867252970514004e-01 8.523057478976087120e-02 2.216841079348384152e-09 9.732335006926582377e-01
2.577006062930156077e+03 6.835027340179603073e+01 2.235492281696692396e-02 1.176259960379425207e-01 8.470263229538804728e-02 2.218924352901690617e-09 9.732136724761142332e-01
2.576601873110790621e+03 6.835165158603109603e+01 2.235654321911775128e-02 1.176443475916847531e-01 8.487504685590004094e-02 2.217418320813017980e-09 9.732953516186283460e-01
2.578682523520861650e+03 6.836466217327078709e+01 2.235130278071455201e-02 1.175896216489947382e-01 8.455286960663850604e-02 2.220404054723051529e-09 9.732929586394133414e-01
2.577308187996106426e+03 6.838884808217490274e+01 2.235402874545003304e-02 1.175772053449071070e-01 8.420061209467231966e-02 2.216790454621752861e-09 9.734170490899027861e-01
2.578840689682484026e+03 6.839786269224002524e+01 2.235606518885354874e-02 1.175490143451219521e-01 8.363373406358841355e-02 2.216375826470896768e-09 9.733115108289936979e-01
2.578087400298993089e+03 6.840417437096922981e+01 2.235481822205423810e-02 1.175714150789942541e-01 8.367725229979651458e-02 2.215653410338829295e-09 9.734016113851460261e-01
2.576635753132505215e+03 6.838647001384423163e+01 2.235484087931125310e-02 1.175528407113565210e-01 8.383877772715064847e-02 2.212968400731527480e-09 9.734081451687264241e-01
2.577018879321460645e+03 6.839915944434724793e+01 2.235635303613577735e-02 1.175080492704296958e-01 8.390790168373100932e-02 2.214741902964541625e-09 9.734742192621910206e-01
2.577104186999849844e+03 6.840619190178239251e+01 2.235416402114879728e-02 1.175164701347822804e-01 8.430986394953238205e-02 2.216640411707054156e-09 9.734321867678592533e-01
2.576709433694478776e+03 6.840931135460594703e+01 2.235207442837617089e-02 1.174711188904922626e-01 8.463846884781288382e-02 2.215092122269594986e-09 9.733539861140324545e-01
2.576600493559303686e+03 6.840660158328935836e+01 2.235457097657402373e-02 1.174400972244653008e-01 8.453654580647941563e-02 2.216270078580998319e-09 9.733575735936158546e-01
2.576823407713442066e+03 6.840503801567859909e+01 2.235381720420252447e-02 1.174468415807445459e-01 8.471504013586063364e-02 2.214443989392359167e-09 9.733018145100472696e-01
2.576506013610136051e+03 6.839156138044236855e+01 2.235435127287043258e-02 1.174851602387346344e-01 8.457180173627815156e-02 2.215881985662899705e-09 9.732330081024963553e-01
2.576506013610136051e+03 6.839156138044236855e+01 2.235435127287043258e-02 1.174851602387346344e-01 8.457180173627815156e-02 2.215881985662899705e-09 9.732330081024963553e-01
2.576506013610136051e+03 6.839156138044236855e+01 2.235435127287043258e-02 1.174851602387346344e-01 8.457180173627815156e-02 2.215881985662899705e-09 9.732330081024963553e-01
2.577403845911159806e+03 6.840871873838617034e+01 2.235471962484720729e-02 1.175065871574961507e-01 8.497141914044270550e-02 2.215169731515732113e-09 9.733498821526838096e-01
2.576731480088806165e+03 6.840148968681539543e+01 2.235914000314417546e-02 1.175082497503051188e-01 8.480255808054550093e-02 2.217973187827843860e-09 9.733950779040922985e-01
2.578148659310802941e+03 6.840760365909470408e+01 2.236348108242606006e-02 1.174839294137121903e-01 8.430085319728003457e-02 2.218185256015082367e-09 9.734802782099538643e-01
2.578148659310802941e+03 6.840760365909470408e+01 2.236348108242606006e-02 1.174839294137121903e-01 8.430085319728003457e-02 2.218185256015082367e-09 9.734802782099538643e-01
2.577338212294454479e+03 6.840819190120149074e+01 2.236255670140444365e-02 1.174297048872386257e-01 8.424228145846912597e-02 2.216698688745572911e-09 9.733927173153761325e-01
2.576764473717139481e+03 6.840274931102813127e+01 2.236200246590970553e-02 1.174116450828494307e-01 8.414989475021192322e-02 2.215175708514848819e-09 9.733761531704865355e-01
2.576371622268629380e+03 6.840292201958219209e+01 2.236057746227120696e-02 1.174045595616068360e-01 8.474731002095882426e-02 2.215237157784081633e-09 9.733571803755421969e-01
2.576531238117832800e+03 6.840351175731076694e+01 2.235583254610181564e-02 1.173832234253115031e-01 8.468767527619650015e-02 2.216765077023399241e-09 9.733855151584576149e-01
2.576613020674919426e+03 6.842544391612386789e+01 2.235639130238680633e-02 1.173979253140327444e-01 8.489630357980165742e-02 2.217687212581150307e-09 9.733619865179098385e-01
2.576752634178632434e+03 6.843293532978866267e+01 2.235533690180994612e-02 1.173934559523367588e-01 8.493850652056265937e-02 2.215621463208833088e-09 9.733907996635863258e-01
2.576435577242634736e+03 6.841988554452460392e+01 2.235788481347865744e-02 1.173913114565472149e-01 8.504189997419363267e-02 2.217342880739095932e-09 9.733732196662741032e-01
2.576435577242634736e+03 6.841988554452460392e+01 2.235788481347865744e-02 1.173913114565472149e-01 8.504189997419363267e-02 2.217342880739095932e-09 9.733732196662741032e-01
2.576456374810083616e+03 6.841657390209597622e+01 2.235528806201645888e-02 1.174002896138256063e-01 8.526612269201068461e-02 2.218447772212945662e-09 9.733766128196118528e-01
2.576456374810083616e+03 6.841657390209597622e+01 2.235528806201645888e-02 1.174002896138256063e-01 8.526612269201068461e-02 2.218447772212945662e-09 9.733766128196118528e-01
2.577081971060196338e+03 6.841572752116105960e+01 2.235126671049107033e-02 1.173762078534796999e-01 8.526387531970755496e-02 2.215729945900682043e-09 9.733331294054528016e-01
2.578564481161039112e+03 6.843720309214998565e+01 2.234870171307201669e-02 1.173958030740879371e-01 8.526789629849271246e-02 2.214545485422838203e-09 9.732660110045634472e-01
